決算月	決算日	当期純利益	assets	liabilities	equity	revenues	expenses	basis	現金	モバイルSuica	watchSuica	三井住友銀行	ゆうちょ銀行	住信SBIネット銀行	飯塚信用金庫	株式	債券	シエンタ	シエンタ償却額	MAZDA3	MAZDA3償却額	未収入金	未収収益	前払費用	JALカードSuicaゴールド	ビックカメラSuica	SMBCCARD	Amazonゴールド	Amazon仮勘定	未払金	前受収益	未払費用	税額調整	資本金	拠出金	父より	母より	任意積立金	留保利益	給与収入	ボーナス	受取利息	有価証券評価損益	有価証券売却損益	受取配当金	雑益	食材費	中食費	外食費	酒・お菓子	パーティ	趣味	レジャー費	交際費	事務用品費	消耗品費	医療費	被服費	書籍費	交通費	旅費	家賃	水道光熱費	保育費	養育費	通信費	償却費	雑費	雑損
202111	2021/11/30	-100996	6302485	371004	5931481	186770	287766	353570	39243	14962	0	1990096	1905915	71082	0	1107800	1000000	0	0	0	0	98116	0	75271	324585	24568	4578	0	36913	0	0	16727	-36367	391617	780000	1600000	2000000	0	1159864	353570	0	0	-166800	0	0	0	22215	5911	24546	6107	0	8233	0	5732	17628	24438	2850	24065	0	5795	25590	92415	7109	0	0	8454	3267	3411	0
202112	2021/12/31	116466	6435502	387555	6047947	436689	320223	375489	6656	9528	0	2107031	1880915	71082	0	1171800	1000000	0	0	0	0	89171	0	99319	328533	17646	2160	32343	5808	0	0	24632	-23567	391617	780000	1600000	2000000	0	1276330	375489	0	0	51200	0	0	10000	17103	2896	37405	5610	0	19298	0	17141	10277	14477	0	7990	1210	19240	22390	92415	13634	0	0	9572	3267	17743	8555
202201	2022/01/31	28859	6502654	425848	6076806	375503	346644	355404	20312	12829	0	2209440	1850915	97977	0	1138100	1000000	0	0	0	0	4954	0	168127	338479	14250	0	84523	2530	0	0	16373	-30307	1667947	780000	1600000	2000000	0	28859	355404	0	26895	-26960	0	0	20164	27043	2106	45234	4346	0	30021	0	12495	16908	5411	0	3502	0	21845	27690	114415	14387	0	0	8518	3267	4079	5377
202202	2022/02/28	-18228	6556092	497514	6058578	406104	424332	355404	16905	15108	0	2207898	1850915	97977	0	1196800	1000000	0	0	0	0	10645	0	159844	420446	15904	0	45770	6530	0	0	27431	-18567	1667947	780000	1600000	2000000	0	10631	355404	0	8	46960	0	0	3732	23879	4787	26018	2130	0	67266	0	18950	53628	40098	0	0	0	24510	15950	107228	22071	0	0	8805	3267	5745	0
202203	2022/03/31	-33173	6561966	536561	6025405	357007	390180	355404	10482	5569	0	2301704	1850915	97977	0	1196800	1000000	0	0	0	0	-53042	0	151561	478857	12000	0	6530	29252	0	0	28489	-18567	1667947	780000	1600000	2000000	0	-22542	355404	0	0	0	0	0	1603	34712	970	27126	2040	0	15459	0	0	92544	23119	1148	13460	1100	3320	0	107228	25148	0	0	8472	3267	26853	4214
202204	2022/04/30	112011	6961124	423708	6537416	362738	250727	362730	21888	12057	0	2291916	2230923	97977	0	1196800	1000000	0	0	0	0	-33715	0	143278	384462	6719	0	-16705	46352	0	0	21447	-18567	1667947	780000	1600000	2400000	0	89469	362730	0	8	0	0	0	0	24709	5692	21579	8823	0	3486	0	2259	17569	19417	0	0	0	100	0	107228	22896	0	0	8387	3267	5315	0
202205	2022/05/31	44935	7308449	726098	6582351	350000	305065	350000	31868	7105	0	2291916	2200923	97977	0	1196800	1000000	0	0	0	0	-3135	350000	134995	547537	32569	0	-15550	54079	0	0	126030	-18567	1667947	780000	1600000	2400000	0	134404	350000	0	0	0	0	0	0	45608	6853	23970	7832	0	12409	0	7480	26788	22340	0	0	0	840	0	107228	28804	0	0	8763	3267	2883	0
202206	2022/06/30	114520	7958663	961792	6996871	350000	235480	350000	19908	7706	0	2291916	2500923	97977	0	1196800	1000000	0	0	0	0	16721	700000	126712	657910	32569	0	-15550	68817	0	0	236613	-18567	1667947	780000	1600000	2700000	0	248924	350000	0	0	0	0	0	0	31713	5556	31707	500	0	7798	0	0	938	3135	0	13086	0	0	0	107228	18339	0	0	8540	3267	3673	0
202207	2022/07/31	55959	8297287	1244457	7052830	350000	294041	350000	35970	7519	0	2291916	2460923	97977	0	1196800	1000000	0	0	0	0	37753	1050000	118429	795910	40514	0	-14791	100195	0	0	341196	-18567	1667947	780000	1600000	2700000	0	304883	350000	0	0	0	0	0	0	13889	9486	46620	6254	0	19469	0	9255	995	18915	0	0	0	300	0	107228	32129	0	0	9101	3267	17133	0
202208	2022/08/31	91213	8956040	1511997	7444043	350000	258787	350000	28711	13939	0	2291916	2760923	97977	0	1196800	1000000	0	0	0	0	55628	1400000	110146	917264	57824	0	-14791	118488	0	0	451779	-18567	1667947	780000	1600000	3000000	0	396096	350000	0	0	0	0	0	0	0	2320	58303	6071	0	2645	0	0	10898	2231	0	0	0	0	41780	107228	12630	0	0	8531	3267	2883	0
